,MACD,Bollinger Bands,RSI,MACD+ATR,MA1+OBV,MA5+OBV
BTC,0.0515,0.0472,0.1622,0.0746,0.4518,0.4841
ETH,0.0773,0.0645,0.2176,0.0814,0.1632,0.1632
BNB,0.1016,0.0605,0.1838,0.0807,1.6274,1.7513
ADA,0.1072,0.0645,0.1792,0.0916,0.587,0.5946
