,1&5,1&10,1&20,1&50,1&100,5&10,5&20,5&50,5&100,10&20,10&50,10&100,20&50,20&100,50&100
BTC,0.355,0.215,0.25,0.231,0.2,0.351,0.35,0.375,0.333,0.375,0.429,0.5,0.333,0.5,0.5
ETH,0.385,0.351,0.303,0.438,0.091,0.5,0.412,0.667,0.25,0.562,0.571,0.333,0.8,0.5,0.333
BNB,0.356,0.333,0.314,0.238,0.167,0.439,0.4,0.375,0.5,0.5,0.6,0.333,0.75,0.5,0.0
ADA,0.322,0.292,0.286,0.231,0.333,0.314,0.278,0.429,0.667,0.375,0.5,0.667,0.5,0.333,0.333
