,Buy&Hold,MACD,Bollinger Bands,RSI,MACD+ATR,MA1+OBV,MA5+OBV
BTC,1.0,0.321,0.665,0.538,0.338,0.129,0.148
ETH,1.0,0.337,0.701,0.667,0.337,0.13,0.13
BNB,1.0,0.343,0.67,0.667,0.364,0.227,0.211
ADA,1.0,0.305,0.618,0.615,0.364,0.211,0.216
