,1&5,1&10,1&20,1&50,1&100,5&10,5&20,5&50,5&100,10&20,10&50,10&100,20&50,20&100,50&100
BTC,0.7,0.26,1.16,3.94,-0.02,1.76,1.14,2.95,0.03,0.92,2.57,0.12,3.23,-0.09,-0.24
ETH,1.75,2.58,3.99,4.05,-0.2,4.36,2.39,5.29,0.2,1.95,6.47,0.0,6.46,-0.09,1.84
